gender,age_60,age_60_70,age_70_80,age_80,bmi_30,bmi_30_35,bmi_35_40,bmi_40,antibiotics,ever_smoker,pre_comor_Group3_Endocrine,pre_comor_Anemia,pre_comor_Group5_MentalDisorder,pre_comor_Group6_Nervous,pre_comor_Hypertension,pre_comor_Group8_Respiratory,pre_comor_Rheumatism,num_patient
1,,,1,,,1,,,1,1,0,0,0,0,1,0,0,4
1,,,1,,,1,,,1,1,0,1,0,0,0,0,0,1
1,,,1,,,1,,,1,1,1,0,0,0,0,0,0,8
1,,,1,,,1,,,1,1,1,0,0,1,0,0,1,1
1,,,1,,,1,,,1,1,1,0,0,1,0,1,0,1
1,,,1,,,1,,,1,1,1,0,0,1,1,1,1,2
1,,,1,,,1,,,1,1,1,0,1,1,1,0,0,2
1,,,1,,,1,,,1,1,1,1,0,1,1,0,0,1
1,,,1,,,1,,,1,1,1,1,1,0,1,1,0,1
1,,,1,,1,,,,0,0,0,0,0,0,0,0,0,413
1,,,1,,1,,,,0,0,1,0,0,0,1,1,0,19
1,,,1,,1,,,,0,0,1,0,0,1,1,1,1,5
1,,,1,,1,,,,0,1,0,0,0,0,1,0,0,11
1,,,1,,1,,,,0,1,0,0,0,0,1,1,1,1
1,,,1,,1,,,,0,1,0,0,0,1,0,0,0,5
1,,,1,,1,,,,0,1,1,0,0,1,1,1,1,8
1,,,1,,1,,,,0,1,1,0,1,0,1,1,1,1
1,,,1,,1,,,,0,1,1,1,0,0,0,0,0,1
1,,,1,,1,,,,0,1,1,1,0,0,0,1,0,1
1,,,1,,1,,,,0,1,1,1,1,0,1,1,0,1
1,,,1,,1,,,,0,1,1,1,1,1,0,1,1,1
1,,,1,,1,,,,0,1,1,1,1,1,1,1,0,2
1,,,1,,1,,,,1,0,0,0,0,0,1,0,1,4
1,,,1,,1,,,,1,0,0,0,0,0,1,1,1,1
1,,,1,,1,,,,1,0,0,0,0,1,0,1,1,1
1,,,1,,1,,,,1,0,0,1,0,0,1,0,0,2
1,,,1,,1,,,,1,0,1,0,0,0,1,1,1,3
1,,,1,,1,,,,1,0,1,0,0,1,0,0,1,3
1,,,1,,1,,,,1,0,1,0,1,0,1,0,0,4
1,,,1,,1,,,,1,0,1,1,0,0,1,1,1,2
1,,,1,,1,,,,1,0,1,1,1,0,1,0,0,1
1,,,1,,1,,,,1,1,0,0,0,0,0,1,0,3
1,,,1,,1,,,,1,1,0,0,0,1,1,0,1,1
1,,,1,,1,,,,1,1,1,0,0,0,0,0,1,3
1,,,1,,1,,,,1,1,1,0,0,0,1,1,0,14
1,,,1,,1,,,,1,1,1,0,0,1,1,1,1,4
1,,,1,,1,,,,1,1,1,0,1,1,0,0,1,1
1,,,1,,1,,,,1,1,1,0,1,1,1,1,0,4
1,,,1,,1,,,,1,1,1,1,0,0,0,1,0,1
1,,,1,,1,,,,1,1,1,1,0,0,1,0,1,2
1,,,1,,1,,,,1,1,1,1,0,1,1,1,1,5
1,,1,,,,,,,0,0,0,0,0,0,0,1,1,1
1,,1,,,,,,,0,0,0,0,0,1,1,1,1,1
1,,1,,,,,,,0,0,1,0,0,0,0,1,0,11
1,,1,,,,,,,0,0,1,0,0,0,1,0,1,12
1,,1,,,,,,,0,0,1,0,0,1,0,1,0,1
1,,1,,,,,,,0,0,1,0,0,1,1,0,1,4
1,,1,,,,,,,0,0,1,0,0,1,1,1,0,5
1,,1,,,,,,,0,0,1,1,0,0,1,0,0,6
1,,1,,,,,,,0,0,1,1,0,1,1,0,0,1
1,,1,,,,,,,0,1,0,0,0,1,0,1,1,1
1,,1,,,,,,,0,1,1,0,0,0,1,0,1,5
1,,1,,,,,,,0,1,1,0,0,0,1,1,1,2
1,,1,,,,,,,0,1,1,0,1,0,1,0,1,1
1,,1,,,,,,,0,1,1,1,0,0,1,0,0,2
1,,1,,,,,,,0,1,1,1,0,1,1,0,0,2
1,,1,,,,,,,1,0,1,0,0,0,0,1,0,2
1,,1,,,,,,,1,0,1,0,0,0,1,1,0,2
1,,1,,,,,,,1,1,1,0,0,0,1,1,0,2
1,,1,,,,,,1,0,0,0,0,0,0,1,1,0,4
1,,1,,,,,,1,0,0,1,0,0,0,1,0,0,98
1,,1,,,,,,1,0,0,1,0,0,0,1,1,1,8
1,,1,,,,,,1,0,0,1,0,1,0,0,1,1,1
1,,1,,,,,,1,0,0,1,1,0,0,1,0,0,14
1,,1,,,,,,1,0,1,0,0,0,0,0,1,0,3
1,,1,,,,,,1,0,1,0,0,0,0,1,0,0,3
1,,1,,,,,,1,0,1,0,0,0,1,1,1,0,1
1,,1,,,,,,1,0,1,1,0,0,0,1,1,0,11
1,,1,,,,,,1,0,1,1,0,0,1,1,1,0,3
1,,1,,,,,,1,0,1,1,1,1,0,0,1,0,1
1,,1,,,,,,1,0,1,1,1,1,1,1,1,1,1
1,,1,,,,,,1,1,0,1,0,0,1,0,0,1,3
1,,1,,,,,,1,1,0,1,0,1,1,1,0,0,1
1,,1,,,,,,1,1,0,1,1,1,1,1,1,1,1
1,,1,,,,,,1,1,1,1,0,0,1,1,0,1,1
1,,1,,,,,1,,0,0,0,0,0,0,1,0,1,3
1,,1,,,,,1,,0,0,0,0,0,1,1,0,1,2
1,,1,,,,,1,,0,0,0,0,1,1,1,1,1,2
1,,1,,,,,1,,0,0,1,0,0,0,0,1,1,3
1,,1,,,,,1,,0,0,1,0,1,1,1,0,1,2
1,,1,,,,,1,,0,1,1,0,1,1,1,1,1,3
1,,1,,,,,1,,0,1,1,1,0,1,1,0,0,1
1,,1,,,,,1,,0,1,1,1,0,1,1,1,1,2
1,,1,,,,,1,,1,0,0,0,0,0,0,0,1,14
1,,1,,,,,1,,1,0,1,0,1,1,1,0,0,1
1,,1,,,,,1,,1,0,1,1,0,0,1,0,1,2
1,,1,,,,,1,,1,0,1,1,1,1,0,0,1,1
1,,1,,,,,1,,1,0,1,1,1,1,0,1,1,1
1,,1,,,,,1,,1,1,0,0,0,0,0,0,0,5
1,,1,,,,,1,,1,1,1,0,0,0,1,0,1,3
1,,1,,,,,1,,1,1,1,1,0,1,1,1,0,1
1,,1,,,,1,,,0,0,0,1,0,0,0,0,0,3
1,,1,,,,1,,,0,0,1,0,0,0,0,0,1,12
1,,1,,,,1,,,0,0,1,0,0,1,0,0,0,9
1,,1,,,,1,,,0,0,1,0,0,1,0,1,1,2
1,,1,,,,1,,,0,0,1,0,0,1,1,0,1,10
1,,1,,,,1,,,0,0,1,1,0,1,1,0,0,5
1,,1,,,,1,,,0,0,1,1,0,1,1,0,1,1
1,,1,,,,1,,,0,1,0,0,0,0,0,0,0,55
1,,1,,,,1,,,1,0,0,0,1,0,0,0,0,3
1,,1,,,,1,,,1,0,1,0,1,0,0,0,0,2
1,,1,,,,1,,,1,0,1,0,1,0,1,1,1,1
1,,1,,,,1,,,1,0,1,0,1,1,1,0,1,1
1,,1,,,,1,,,1,0,1,1,0,0,0,0,0,2
1,,1,,,,1,,,1,0,1,1,0,0,0,1,0,2
1,,1,,,,1,,,1,0,1,1,1,1,1,0,1,1
1,,1,,,,1,,,1,1,1,0,0,1,1,1,0,5
1,,1,,,,1,,,1,1,1,0,0,1,1,1,1,5
1,,1,,,,1,,,1,1,1,1,0,1,1,1,0,3
1,,1,,,,1,,,1,1,1,1,1,1,0,1,0,1
1,,1,,,,1,,,1,1,1,1,1,1,1,1,0,2
1,,1,,,1,,,,0,0,0,0,0,1,0,0,0,19
1,,1,,,1,,,,0,0,0,0,1,0,0,0,0,2
1,,1,,,1,,,,0,0,0,1,0,0,0,0,0,13
1,,1,,,1,,,,0,0,0,1,0,0,0,1,0,2
1,,1,,,1,,,,0,0,1,0,0,1,0,1,0,2
1,,1,,,1,,,,0,0,1,0,0,1,1,1,0,8
1,,1,,,1,,,,0,0,1,1,0,0,1,0,1,7
1,,1,,,1,,,,0,0,1,1,1,0,1,1,0,1
1,,1,,,1,,,,0,1,0,0,0,1,1,1,1,2
1,,1,,,1,,,,0,1,1,0,0,0,0,1,0,11
1,,1,,,1,,,,0,1,1,0,0,0,1,1,0,8
1,,1,,,1,,,,0,1,1,0,0,0,1,1,1,5
1,,1,,,1,,,,0,1,1,0,0,1,1,0,1,6
1,,1,,,1,,,,0,1,1,1,0,0,1,0,0,10
1,,1,,,1,,,,0,1,1,1,0,0,1,1,0,5
1,,1,,,1,,,,0,1,1,1,0,0,1,1,1,4
1,,1,,,1,,,,1,0,0,0,0,0,0,0,0,429
1,,1,,,1,,,,1,0,0,0,1,1,0,0,0,2
1,,1,,,1,,,,1,0,0,1,0,1,1,0,0,1
1,,1,,,1,,,,1,0,1,0,0,0,0,1,0,9
1,,1,,,1,,,,1,0,1,0,0,0,0,1,1,2
1,,1,,,1,,,,1,0,1,0,0,0,1,1,1,5
1,,1,,,1,,,,1,0,1,0,1,1,0,1,0,1
1,,1,,,1,,,,1,0,1,1,0,1,1,0,1,2
1,,1,,,1,,,,1,1,0,0,1,1,0,0,0,1
1,,1,,,1,,,,1,1,0,0,1,1,0,1,0,1
1,,1,,,1,,,,1,1,1,0,1,1,0,1,0,1
1,,1,,,1,,,,1,1,1,1,0,0,0,0,1,1
1,,1,,,1,,,,1,1,1,1,0,0,1,1,1,2
1,1,,,,,,,,0,0,0,0,0,0,1,1,1,1
1,1,,,,,,,,0,0,1,0,0,0,0,1,0,3
1,1,,,,,,,,0,0,1,0,0,1,0,1,0,1
1,1,,,,,,,,0,0,1,1,0,0,0,0,0,6
1,1,,,,,,,,0,1,1,0,0,0,0,1,1,1
1,1,,,,,,,,0,1,1,0,1,0,0,0,0,2
1,1,,,,,,,,1,0,0,0,0,0,0,0,1,8
1,1,,,,,,,,1,0,0,0,0,0,0,1,0,5
1,1,,,,,,,,1,0,0,0,0,0,1,0,1,1
1,1,,,,,,,,1,0,0,1,0,1,1,0,0,1
1,1,,,,,,,,1,0,1,1,0,0,0,0,1,1
1,1,,,,,,,,1,0,1,1,0,1,1,0,0,1
1,1,,,,,,,,1,0,1,1,1,1,1,0,0,1
1,1,,,,,,,,1,1,0,0,0,1,1,1,0,1
1,1,,,,,,,,1,1,1,0,0,0,1,1,1,2
1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1
1,1,,,,,,,1,0,0,0,0,0,0,0,1,0,4
1,1,,,,,,,1,0,0,1,0,0,1,0,1,1,1
1,1,,,,,,,1,0,0,1,0,0,1,1,1,0,6
1,1,,,,,,,1,0,0,1,1,0,0,1,1,1,6
1,1,,,,,,,1,0,0,1,1,1,0,1,1,0,2
1,1,,,,,,,1,0,1,0,0,0,0,0,0,0,37
1,1,,,,,,,1,0,1,0,0,0,0,0,0,1,7
1,1,,,,,,,1,0,1,0,0,0,0,0,1,0,2
1,1,,,,,,,1,0,1,0,0,0,0,1,0,0,6
1,1,,,,,,,1,0,1,1,0,0,0,1,0,1,9
1,1,,,,,,,1,0,1,1,0,1,0,0,0,0,1
1,1,,,,,,,1,0,1,1,1,0,0,0,0,1,1
1,1,,,,,,,1,1,0,0,0,0,0,0,0,0,53
1,1,,,,,,,1,1,0,1,1,0,0,0,0,0,1
1,1,,,,,,,1,1,1,0,0,0,0,1,1,0,1
1,1,,,,,,,1,1,1,1,0,0,1,1,0,0,1
1,1,,,,,,1,,0,0,0,0,0,0,1,0,1,5
1,1,,,,,,1,,0,0,0,0,0,1,0,0,0,7
1,1,,,,,,1,,0,0,0,0,0,1,0,0,1,2
1,1,,,,,,1,,0,0,1,1,0,0,0,0,1,3
1,1,,,,,,1,,0,0,1,1,0,0,1,0,0,3
1,1,,,,,,1,,0,0,1,1,0,0,1,1,0,3
1,1,,,,,,1,,0,1,0,0,1,0,1,0,0,2
1,1,,,,,,1,,0,1,1,0,0,0,1,1,1,5
1,1,,,,,,1,,0,1,1,0,0,1,0,0,1,1
1,1,,,,,,1,,0,1,1,1,0,0,1,0,0,3
1,1,,,,,,1,,1,0,0,0,0,0,0,1,0,5
1,1,,,,,,1,,1,0,0,0,1,0,0,0,0,1
1,1,,,,,,1,,1,0,1,1,0,0,1,0,1,2
1,1,,,,,,1,,1,0,1,1,1,0,1,0,0,1
1,1,,,,,,1,,1,1,0,1,0,0,0,0,0,1
1,1,,,,,,1,,1,1,0,1,0,1,0,1,0,1
1,1,,,,,,1,,1,1,1,0,0,0,0,0,0,5
1,1,,,,,,1,,1,1,1,0,0,1,0,1,1,1
1,1,,,,,,1,,1,1,1,0,1,0,1,1,1,2
1,1,,,,,,1,,1,1,1,1,1,1,1,1,0,1
1,1,,,,,1,,,0,0,0,0,1,0,0,0,0,4
1,1,,,,,1,,,0,0,0,1,0,0,0,1,0,1
1,1,,,,,1,,,0,0,0,1,1,1,1,0,1,1
1,1,,,,,1,,,0,0,1,0,0,0,1,1,0,12
1,1,,,,,1,,,0,0,1,0,0,1,0,0,1,2
1,1,,,,,1,,,0,0,1,0,0,1,1,0,1,9
1,1,,,,,1,,,0,0,1,0,1,0,0,0,1,1
1,1,,,,,1,,,0,0,1,0,1,0,1,1,0,1
1,1,,,,,1,,,0,0,1,1,1,0,1,0,0,2
1,1,,,,,1,,,0,1,0,0,1,0,0,0,1,1
1,1,,,,,1,,,0,1,0,0,1,1,1,0,0,2
1,1,,,,,1,,,0,1,1,0,0,1,1,0,1,9
1,1,,,,,1,,,0,1,1,0,0,1,1,1,1,3
1,1,,,,,1,,,0,1,1,0,1,1,1,0,0,2
1,1,,,,,1,,,1,0,0,0,0,0,0,0,0,227
1,1,,,,,1,,,1,0,0,0,0,0,0,1,1,3
1,1,,,,,1,,,1,0,0,0,0,0,1,0,1,3
1,1,,,,,1,,,1,0,0,0,0,1,0,1,1,1
1,1,,,,,1,,,1,0,0,0,1,0,0,0,0,3
1,1,,,,,1,,,1,0,0,1,1,1,1,1,1,1
1,1,,,,,1,,,1,0,1,0,1,1,1,1,0,2
1,1,,,,,1,,,1,0,1,1,0,0,0,1,1,1
1,1,,,,,1,,,1,1,0,0,0,1,0,0,0,2
1,1,,,,,1,,,1,1,0,0,1,1,1,1,1,1
1,1,,,,,1,,,1,1,1,0,0,0,0,0,1,2
1,1,,,,,1,,,1,1,1,0,0,0,0,1,0,5
1,1,,,,,1,,,1,1,1,0,0,0,0,1,1,1
1,1,,,,,1,,,1,1,1,0,0,0,1,0,1,3
1,1,,,,,1,,,1,1,1,0,1,1,1,0,1,1
1,1,,,,,1,,,1,1,1,1,0,0,1,0,0,3
1,1,,,,,1,,,1,1,1,1,0,0,1,1,0,2
1,1,,,,1,,,,0,0,0,0,0,0,0,1,0,26
1,1,,,,1,,,,0,0,0,0,0,0,1,0,1,8
1,1,,,,1,,,,0,0,0,0,1,0,0,0,1,3
1,1,,,,1,,,,0,0,1,0,0,0,1,0,0,29
1,1,,,,1,,,,0,0,1,0,1,0,1,0,1,1
1,1,,,,1,,,,0,0,1,0,1,0,1,1,1,1
1,1,,,,1,,,,0,0,1,1,0,0,0,0,0,6
1,1,,,,1,,,,0,0,1,1,0,1,1,0,0,1
1,1,,,,1,,,,0,1,0,0,0,1,1,1,0,1
1,1,,,,1,,,,0,1,0,0,1,0,0,1,1,1
1,1,,,,1,,,,0,1,0,0,1,1,0,1,0,2
1,1,,,,1,,,,0,1,0,1,1,0,1,0,1,1
1,1,,,,1,,,,0,1,1,0,1,0,1,0,1,1
1,1,,,,1,,,,0,1,1,0,1,1,1,1,0,1
1,1,,,,1,,,,0,1,1,0,1,1,1,1,1,3
1,1,,,,1,,,,0,1,1,1,1,0,0,1,1,1
1,1,,,,1,,,,1,0,1,0,0,1,0,1,0,3
1,1,,,,1,,,,1,0,1,0,1,1,0,1,1,1
1,1,,,,1,,,,1,0,1,1,0,1,0,0,0,2
1,1,,,,1,,,,1,0,1,1,0,1,1,0,0,1
1,1,,,,1,,,,1,1,0,0,0,0,0,0,0,39
1,1,,,,1,,,,1,1,0,0,1,0,0,1,0,1
1,1,,,,1,,,,1,1,1,0,0,1,1,1,1,6
1,1,,,,1,,,,1,1,1,0,1,1,0,0,1,1
1,1,,,,1,,,,1,1,1,0,1,1,0,1,0,1
2,,,,,,,1,,1,0,1,0,1,0,1,0,0,1
2,,,,1,,,,,0,0,0,0,0,1,1,0,0,2
2,,,,1,,,,,0,0,0,0,0,1,1,1,0,1
2,,,,1,,,,,0,0,1,0,0,0,0,0,0,11
2,,,,1,,,,,0,1,1,0,0,0,0,0,0,1
2,,,,1,,,,,0,1,1,0,0,0,1,1,1,2
2,,,,1,,,,,0,1,1,0,1,0,1,1,1,1
2,,,,1,,,,,0,1,1,0,1,1,1,0,0,2
2,,,,1,,,,,1,0,0,0,0,0,0,0,1,2
2,,,,1,,,,,1,0,1,0,0,0,0,0,0,3
2,,,,1,,,,,1,0,1,1,0,1,1,1,0,1
2,,,,1,,,,1,1,0,1,0,0,1,1,0,0,4
2,,,,1,,,1,,0,0,1,0,0,1,1,0,1,2
2,,,,1,,,1,,0,0,1,1,0,0,1,0,0,6
2,,,,1,,,1,,0,0,1,1,1,1,1,1,1,2
2,,,,1,,,1,,0,1,0,0,0,0,0,0,0,1
2,,,,1,,,1,,1,0,1,0,0,0,1,0,0,8
2,,,,1,,,1,,1,0,1,0,0,1,1,0,1,1
2,,,,1,,,1,,1,0,1,0,1,1,1,1,1,1
2,,,,1,,1,,,0,0,0,0,0,1,1,0,0,4
2,,,,1,,1,,,0,0,0,0,1,0,0,1,1,1
2,,,,1,,1,,,0,0,1,0,0,1,1,1,0,9
2,,,,1,,1,,,0,0,1,0,0,1,1,1,1,8
2,,,,1,,1,,,0,0,1,0,1,0,1,0,1,3
2,,,,1,,1,,,0,0,1,1,0,1,1,0,0,4
2,,,,1,,1,,,0,1,0,0,0,0,0,0,0,4
2,,,,1,,1,,,0,1,1,0,0,0,1,0,1,1
2,,,,1,,1,,,0,1,1,0,1,0,1,0,0,1
2,,,,1,,1,,,0,1,1,1,1,1,1,0,1,1
2,,,,1,,1,,,1,0,0,0,0,1,0,0,1,1
2,,,,1,,1,,,1,0,1,0,1,1,1,1,1,2
2,,,,1,,1,,,1,0,1,1,0,1,1,0,1,1
2,,,,1,,1,,,1,1,1,0,0,1,1,1,1,1
2,,,,1,1,,,,0,0,0,1,0,0,1,1,1,1
2,,,,1,1,,,,0,0,0,1,0,1,0,0,1,2
2,,,,1,1,,,,0,0,1,0,0,1,1,0,1,16
2,,,,1,1,,,,0,0,1,0,1,0,0,1,1,2
2,,,,1,1,,,,0,0,1,1,1,0,1,0,1,5
2,,,,1,1,,,,0,1,1,0,1,1,1,1,1,1
2,,,,1,1,,,,0,1,1,1,0,0,0,0,0,2
2,,,,1,1,,,,0,1,1,1,0,0,1,0,0,4
2,,,,1,1,,,,1,0,0,0,0,0,0,1,1,2
2,,,,1,1,,,,1,0,0,1,0,0,1,1,0,1
2,,,,1,1,,,,1,0,0,1,0,1,0,1,1,1
2,,,,1,1,,,,1,0,1,0,0,0,0,0,1,7
2,,,,1,1,,,,1,0,1,0,0,0,0,1,1,1
2,,,,1,1,,,,1,0,1,0,0,1,1,0,0,14
2,,,,1,1,,,,1,0,1,1,0,0,1,1,1,6
2,,,,1,1,,,,1,0,1,1,0,1,1,1,1,7
2,,,,1,1,,,,1,1,1,0,0,1,1,0,1,1
2,,,,1,1,,,,1,1,1,1,0,1,0,1,0,1
2,,,,1,1,,,,1,1,1,1,0,1,1,0,0,2
2,,,,1,1,,,,1,1,1,1,0,1,1,1,0,1
2,,,1,,,,,,0,0,0,1,0,1,1,0,0,1
2,,,1,,,,,,0,0,1,0,1,1,1,0,0,6
2,,,1,,,,,,0,0,1,1,0,0,1,1,0,10
2,,,1,,,,,,0,0,1,1,0,0,1,1,1,4
2,,,1,,,,,,0,1,1,1,0,0,1,1,0,4
2,,,1,,,,,,0,1,1,1,0,1,1,1,0,2
2,,,1,,,,,,1,0,0,0,0,0,1,0,0,46
2,,,1,,,,,,1,0,0,0,0,0,1,1,0,3
2,,,1,,,,,,1,0,0,0,0,1,0,0,1,3
2,,,1,,,,,,1,0,1,0,0,1,0,0,1,1
2,,,1,,,,,,1,0,1,0,0,1,1,0,0,3
2,,,1,,,,,,1,0,1,0,1,0,1,1,0,1
2,,,1,,,,,,1,1,0,0,1,0,1,0,0,1
2,,,1,,,,,,1,1,1,0,0,1,1,0,1,1
2,,,1,,,,,,1,1,1,1,1,1,1,1,1,1
2,,,1,,,,,1,0,0,0,0,0,0,1,0,0,37
2,,,1,,,,,1,0,0,0,0,0,0,1,0,1,4
2,,,1,,,,,1,0,0,1,0,0,1,1,1,0,8
2,,,1,,,,,1,0,0,1,0,1,0,1,1,0,3
2,,,1,,,,,1,0,0,1,0,1,1,1,0,1,3
2,,,1,,,,,1,0,0,1,1,0,0,0,0,1,1
2,,,1,,,,,1,0,0,1,1,1,1,0,0,0,1
2,,,1,,,,,1,0,1,1,0,1,0,1,0,0,3
2,,,1,,,,,1,0,1,1,1,0,1,1,1,1,1
2,,,1,,,,,1,0,1,1,1,1,0,1,0,0,1
2,,,1,,,,,1,1,0,0,0,0,0,0,0,0,44
2,,,1,,,,,1,1,0,1,0,0,1,1,0,1,2
2,,,1,,,,,1,1,1,1,0,0,1,0,0,1,2
2,,,1,,,,,1,1,1,1,1,0,1,1,0,1,1
2,,,1,,,,,1,1,1,1,1,0,1,1,1,1,1
2,,,1,,,,,1,1,1,1,1,1,0,1,1,1,1
2,,,1,,,,,1,1,1,1,1,1,1,1,1,0,2
2,,,1,,,,1,,0,0,0,0,0,0,1,0,0,39
